device_id,device_type,purchase_date,purchase_year,purchase_month,purchase_month_name,age,expected_age,age_validation_flag,device_age_band,manufacturer,model,country,maintenance_cost_original,maintenance_cost,maintenance_cost_quality_flag,downtime_hours,maintenance_frequency,failure_event_count,failure_flag,failure_status,maintenance_class,maintenance_severity,maintenance_report,failure_type,risk_score,operational_risk_level,replacement_review_flag
MD03449,Defibrillator,2018-04-23,2018,4,April,7,7,Matched,7-9 Years,CardioSync,Model-100,France,7115.349585060145,7115.349585060145,Valid,7.93,3,0,0,No Failure Reported,1,Low,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault,Overheating,0,Low,Monitor
MD02218,PET Scanner,2017-06-06,2017,6,June,8,8,Matched,7-9 Years,RescueTech,Model-450,France,4886.093492733723,4886.093492733723,Valid,8.41,3,1,1,Failure Reported,1,Low,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared,Software/Data Issue,1,Low,Monitor
MD02470,X-Ray Machine,2015-07-28,2015,7,July,10,10,Matched,10+Years,CardioSync,Model-100,USA,6812.954776135197,6812.954776135197,Valid,10.89,2,0,0,No Failure Reported,1,Low,voltage spike caused operational delay; inspection initiated. minor issue stable condition,Electerical Issue,1,Low,Monitor
MD01526,Infusion Pump,2014-04-13,2014,4,April,11,11,Matched,10+Years,ImagingTech,Model-650,UK,6215.336684253508,6215.336684253508,Valid,7.48,2,1,1,Failure Reported,1,Low,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared,Electerical Issue,1,Low,Monitor
MD02916,Defibrillator,2023-02-11,2023,2,February,2,2,Matched,0-3 Years,ScanPro,Model-400,France,1719.266760168215,1719.266760168215,Valid,4.21,2,1,1,Failure Reported,1,Low,Routine check completed; software crash observed during diagnostics. software reset system check passed,Software/Data Issue,0,Low,Monitor
MD03720,X-Ray Machine,2022-02-25,2022,2,February,3,3,Matched,0-3 Years,UltraMed,Model-500,Italy,7795.895133865077,7795.895133865077,Valid,4.0,2,1,1,Failure Reported,1,Low,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue,Mechanical Issue,0,Low,Monitor
MD02925,Defibrillator,2023-04-13,2023,4,April,2,2,Matched,0-3 Years,CardioSync,Model-450,Italy,2152.4747298135094,2152.4747298135094,Valid,13.17,3,4,1,Failure Reported,2,Medium,Routine check completed; sensor misalignment observed during diagnostics. component issue component review,Sensor Issue,1,Low,Monitor
MD03388,PET Scanner,2019-12-30,2019,12,December,6,6,Matched,4-6 Years,ImagingTech,Model-100,France,11373.18802575138,11373.18802575138,Valid,9.14,1,2,1,Failure Reported,2,Medium,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning,Battery Issue,0,Low,Monitor
MD05481,PET Scanner,2016-10-02,2016,10,October,9,9,Matched,7-9 Years,MedEquip,Model-250,Canada,6493.840606020618,6493.840606020618,Valid,7.37,2,3,1,Failure Reported,1,Low,overheating caused operational delay; replacement initiated. quick fix stable condition,Overheating,2,Medium,Review for Replacement
MD04893,X-Ray Machine,2021-08-25,2021,8,August,4,4,Matched,4-6 Years,ScanPro,Model-450,Canada,15145.508258868304,15145.508258868304,Valid,13.2,4,1,1,Failure Reported,3,High,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed,Sensor Issue,2,Medium,Monitor
MD00760,Infusion Pump,2018-08-08,2018,8,August,7,7,Matched,7-9 Years,MedEquip,Model-400,UK,3338.00879471796,3338.00879471796,Valid,8.35,5,1,1,Failure Reported,3,High,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement,Sensor Issue,1,Low,Monitor
MD02822,MRI Scanner,2019-10-14,2019,10,October,6,6,Matched,4-6 Years,ScanPro,Model-250,France,14131.244163325728,14131.244163325728,Valid,2.43,5,1,1,Failure Reported,2,Medium,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning,Electerical Issue,1,Low,Monitor
MD01974,X-Ray Machine,2016-04-12,2016,4,April,9,9,Matched,7-9 Years,ImagingTech,Model-350,UK,25219.236088495098,25219.236088495098,Valid,5.49,1,0,0,No Failure Reported,3,High,overheating caused operational delay; software patch initiated. sensor replaced critical failure,Overheating,3,Medium,Monitor
MD01251,X-Ray Machine,2015-05-26,2015,5,May,10,10,Matched,10+Years,ImagingTech,Model-550,Italy,2016.8437303121104,2016.8437303121104,Valid,3.83,2,1,1,Failure Reported,2,Medium,Routine check completed; circuit failure observed during diagnostics. driver update average severity report,Electerical Issue,1,Low,Monitor
MD01934,MRI Scanner,2017-08-07,2017,8,August,8,8,Matched,7-9 Years,MedEquip,Model-400,Canada,16916.293249951577,16916.293249951577,Valid,26.37,3,2,1,Failure Reported,3,High,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash,Software/Data Issue,4,High,Review for Replacement
MD03664,CT Scanner,2023-04-17,2023,4,April,2,2,Matched,0-3 Years,ImagingTech,Model-250,Japan,13689.215066756333,13689.215066756333,Valid,7.55,2,0,0,No Failure Reported,3,High,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,Sensor Issue,2,Medium,Monitor
MD03879,CT Scanner,2023-03-14,2023,3,March,2,2,Matched,0-3 Years,UltraMed,Model-550,UK,4766.146903213029,4766.146903213029,Valid,3.57,3,1,1,Failure Reported,2,Medium,battery wear caused operational delay; system reset initiated. component issue moderate delay,Battery Issue,0,Low,Monitor
MD00866,X-Ray Machine,2013-08-19,2013,8,August,12,12,Matched,10+Years,CardioSync,Model-350,Canada,2822.271472575234,2822.271472575234,Valid,6.33,4,1,1,Failure Reported,1,Low,software crash caused operational delay; component upgrade initiated. software reset low priority fault,Software/Data Issue,1,Low,Monitor
MD01491,MRI Scanner,2021-12-12,2021,12,December,4,4,Matched,4-6 Years,RescueTech,Model-450,Italy,6178.945848745482,6178.945848745482,Valid,3.24,1,1,1,Failure Reported,1,Low,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared,Software/Data Issue,0,Low,Monitor
MD00480,MRI Scanner,2014-07-02,2014,7,July,11,11,Matched,10+Years,CardioSync,Model-200,USA,4250.403515707106,4250.403515707106,Valid,4.72,1,1,1,Failure Reported,1,Low,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue,Electerical Issue,1,Low,Monitor
MD03741,Infusion Pump,2018-12-15,2018,12,December,7,7,Matched,7-9 Years,MedEquip,Model-600,UK,2187.6605253452403,2187.6605253452403,Valid,13.78,1,1,1,Failure Reported,2,Medium,data lag caused operational delay; replacement initiated. component issue driver update applied,Software/Data Issue,0,Low,Monitor
MD04270,Infusion Pump,2015-06-25,2015,6,June,10,10,Matched,10+Years,ScanPro,Model-500,UK,3879.661386363239,3879.661386363239,Valid,7.33,1,6,1,Failure Reported,2,Medium,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning,Sensor Issue,2,Medium,Review for Replacement
MD05305,Infusion Pump,2021-03-29,2021,3,March,4,4,Matched,4-6 Years,ScanPro,Model-550,Japan,10161.541698458828,10161.541698458828,Valid,7.92,5,1,1,Failure Reported,2,Medium,Component replacement after detecting battery wear; functionality restored. driver update performance warning,Battery Issue,0,Low,Monitor
MD04554,Defibrillator,2019-01-02,2019,1,January,6,6,Matched,4-6 Years,UltraMed,Model-600,Italy,2448.351450135515,2448.351450135515,Valid,26.69,5,3,1,Failure Reported,3,High,battery wear caused operational delay; recalibration initiated. critical failure critical failure,Battery Issue,3,Medium,Review for Replacement
MD00430,Defibrillator,2016-03-23,2016,3,March,9,9,Matched,7-9 Years,ImagingTech,Model-250,Canada,4188.039355590178,4188.039355590178,Valid,2.14,1,3,1,Failure Reported,1,Low,battery wear caused operational delay; firmware update initiated. software reset log file cleared,Battery Issue,2,Medium,Review for Replacement
MD01156,Infusion Pump,2023-04-21,2023,4,April,2,2,Matched,0-3 Years,ImagingTech,Model-150,France,4419.909659088393,4419.909659088393,Valid,8.83,4,2,1,Failure Reported,1,Low,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch,Electerical Issue,0,Low,Monitor
MD03378,X-Ray Machine,2015-04-06,2015,4,April,10,10,Matched,10+Years,RescueTech,Model-300,USA,14118.49393246357,14118.49393246357,Valid,11.57,3,2,1,Failure Reported,3,High,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,Sensor Issue,3,Medium,Monitor
MD05233,Infusion Pump,2020-01-27,2020,1,January,5,5,Matched,4-6 Years,RescueTech,Model-500,Japan,4367.170321558245,4367.170321558245,Valid,5.49,2,5,1,Failure Reported,1,Low,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault,Software/Data Issue,1,Low,Monitor
MD01496,Infusion Pump,2023-10-15,2023,10,October,2,2,Matched,0-3 Years,UltraMed,Model-450,Canada,33114.849724783846,33114.849724783846,Valid,23.91,2,2,1,Failure Reported,3,High,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction,Electerical Issue,3,Medium,Review for Replacement
MD03382,CT Scanner,2019-07-15,2019,7,July,6,6,Matched,4-6 Years,UltraMed,Model-650,Canada,1358.021833089199,1358.021833089199,Valid,4.68,3,1,1,Failure Reported,1,Low,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,Sensor Issue,0,Low,Monitor
MD02276,MRI Scanner,2018-12-23,2018,12,December,7,7,Matched,7-9 Years,RescueTech,Model-150,USA,2436.5681384018267,2436.5681384018267,Valid,4.51,5,2,1,Failure Reported,1,Low,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared,Electerical Issue,0,Low,Monitor
MD04343,X-Ray Machine,2023-05-02,2023,5,May,2,2,Matched,0-3 Years,ImagingTech,Model-650,Italy,6492.708759312389,6492.708759312389,Valid,2.45,1,2,1,Failure Reported,1,Low,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition,Electerical Issue,0,Low,Monitor
MD00138,X-Ray Machine,2016-10-27,2016,10,October,9,9,Matched,7-9 Years,ImagingTech,Model-250,UK,7558.269074891674,7558.269074891674,Valid,9.32,4,1,1,Failure Reported,1,Low,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault,Battery Issue,1,Low,Monitor
MD05344,PET Scanner,2015-10-14,2015,10,October,10,10,Matched,10+Years,RescueTech,Model-250,France,-3925.998613777928,3925.998613777928,Negative Cost Corrected,14.82,5,4,1,Failure Reported,2,Medium,Routine check completed; overheating observed during diagnostics. moderate delay average severity report,Overheating,3,Medium,Review for Replacement
MD03351,Defibrillator,2019-05-08,2019,5,May,6,6,Matched,4-6 Years,RescueTech,Model-550,Italy,19431.51292230199,19431.51292230199,Valid,13.33,1,1,1,Failure Reported,3,High,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault,Electerical Issue,2,Medium,Monitor
MD05448,CT Scanner,2014-03-18,2014,3,March,11,11,Matched,10+Years,MedEquip,Model-500,France,4769.272971023088,4769.272971023088,Valid,4.44,1,1,1,Failure Reported,1,Low,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,Sensor Issue,1,Low,Monitor
MD04171,CT Scanner,2016-03-25,2016,3,March,9,9,Matched,7-9 Years,RescueTech,Model-600,Italy,7409.761716860064,7409.761716860064,Valid,4.87,5,1,1,Failure Reported,1,Low,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,Electerical Issue,1,Low,Monitor
MD01107,X-Ray Machine,2017-03-16,2017,3,March,8,8,Matched,7-9 Years,RescueTech,Model-100,Japan,3317.8227464097845,3317.8227464097845,Valid,2.74,1,1,1,Failure Reported,1,Low,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition,Software/Data Issue,1,Low,Monitor
MD03601,CT Scanner,2016-02-19,2016,2,February,9,9,Matched,7-9 Years,ScanPro,Model-100,UK,8353.801795701629,8353.801795701629,Valid,15.54,2,0,0,No Failure Reported,2,Medium,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,Software/Data Issue,2,Medium,Monitor
MD03042,Infusion Pump,2018-03-23,2018,3,March,7,7,Matched,7-9 Years,ImagingTech,Model-250,UK,17861.013196617612,17861.013196617612,Valid,19.36,4,1,1,Failure Reported,3,High,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed,Sensor Issue,3,Medium,Review for Replacement
MD05197,PET Scanner,2016-04-24,2016,4,April,9,9,Matched,7-9 Years,UltraMed,Model-200,Japan,5652.16312194349,5652.16312194349,Valid,12.49,2,1,1,Failure Reported,2,Medium,software crash caused operational delay; recalibration initiated. moderate delay average severity report,Software/Data Issue,1,Low,Monitor
MD04276,Infusion Pump,2020-03-26,2020,3,March,5,5,Matched,4-6 Years,CardioSync,Model-400,Japan,1892.443132040808,1892.443132040808,Valid,2.89,1,3,1,Failure Reported,1,Low,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix,Software/Data Issue,1,Low,Monitor
MD04582,PET Scanner,2014-01-20,2014,1,January,11,11,Matched,10+Years,ImagingTech,Model-250,UK,510.00212166954736,510.00212166954736,Valid,7.02,2,3,1,Failure Reported,2,Medium,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning,Overheating,2,Medium,Review for Replacement
MD00183,Infusion Pump,2020-01-16,2020,1,January,5,5,Matched,4-6 Years,ScanPro,Model-400,Canada,23500.02990692996,23500.02990692996,Valid,13.91,5,2,1,Failure Reported,3,High,Component component upgrade after detecting overheating; functionality restored. data loss critical failure,Overheating,2,Medium,Monitor
MD01874,X-Ray Machine,2013-06-25,2013,6,June,12,12,Matched,10+Years,MedEquip,Model-550,UK,16090.559286024452,16090.559286024452,Valid,4.25,3,2,1,Failure Reported,2,Medium,Component software patch after detecting overheating; functionality restored. reviewed logs component review,Overheating,2,Medium,Monitor
MD02291,PET Scanner,2022-09-13,2022,9,September,3,3,Matched,0-3 Years,CardioSync,Model-200,Italy,13461.301051583214,13461.301051583214,Valid,5.24,1,2,1,Failure Reported,3,High,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement,Battery Issue,2,Medium,Monitor
MD01473,Defibrillator,2021-05-17,2021,5,May,4,4,Matched,4-6 Years,MedEquip,Model-500,UK,17732.039201073338,17732.039201073338,Valid,27.72,2,0,0,No Failure Reported,3,High,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown,Sensor Issue,3,Medium,Review for Replacement
MD04436,PET Scanner,2015-10-04,2015,10,October,10,10,Matched,10+Years,ImagingTech,Model-300,USA,20652.632777956256,20652.632777956256,Valid,9.71,5,3,1,Failure Reported,3,High,Component replacement after detecting overheating; functionality restored. data loss system crash,Overheating,4,High,Review for Replacement
MD02029,MRI Scanner,2016-05-08,2016,5,May,9,9,Matched,7-9 Years,CardioSync,Model-150,France,19527.35367964784,19527.35367964784,Valid,4.37,3,3,1,Failure Reported,3,High,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure,Mechanical Issue,4,High,Review for Replacement
MD01834,Defibrillator,2016-12-10,2016,12,December,9,9,Matched,7-9 Years,UltraMed,Model-400,USA,4245.247467883983,4245.247467883983,Valid,6.9,4,1,1,Failure Reported,2,Medium,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied,Software/Data Issue,1,Low,Monitor
MD01890,X-Ray Machine,2019-02-10,2019,2,February,6,6,Matched,4-6 Years,ScanPro,Model-200,Canada,7413.156979959484,7413.156979959484,Valid,12.24,5,4,1,Failure Reported,2,Medium,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning,Sensor Issue,1,Low,Monitor
MD00766,MRI Scanner,2019-10-14,2019,10,October,6,6,Matched,4-6 Years,ImagingTech,Model-150,Canada,2733.610608245419,2733.610608245419,Valid,12.5,3,2,1,Failure Reported,2,Medium,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning,Software/Data Issue,0,Low,Monitor
MD00060,CT Scanner,2019-11-03,2019,11,November,6,6,Matched,4-6 Years,CardioSync,Model-500,Italy,8832.886301916946,8832.886301916946,Valid,15.07,2,2,1,Failure Reported,2,Medium,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,Sensor Issue,1,Low,Monitor
MD04497,Infusion Pump,2020-07-05,2020,7,July,5,5,Matched,4-6 Years,UltraMed,Model-150,USA,5441.773806805362,5441.773806805362,Valid,7.31,4,5,1,Failure Reported,1,Low,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch,Sensor Issue,1,Low,Monitor
MD00218,PET Scanner,2020-12-14,2020,12,December,5,5,Matched,4-6 Years,RescueTech,Model-200,UK,14486.440808659385,14486.440808659385,Valid,6.1,4,2,1,Failure Reported,2,Medium,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection,Sensor Issue,1,Low,Monitor
MD00605,X-Ray Machine,2014-08-09,2014,8,August,11,11,Matched,10+Years,RescueTech,Model-200,Japan,18630.973613076287,18630.973613076287,Valid,9.44,2,1,1,Failure Reported,3,High,Routine check completed; software crash observed during diagnostics. data loss critical failure,Software/Data Issue,3,Medium,Monitor
MD03054,CT Scanner,2013-10-02,2013,10,October,12,12,Matched,10+Years,UltraMed,Model-200,Japan,5910.5701703758,5910.5701703758,Valid,4.62,5,3,1,Failure Reported,2,Medium,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,Electerical Issue,2,Medium,Review for Replacement
MD02772,MRI Scanner,2023-10-04,2023,10,October,2,2,Matched,0-3 Years,ImagingTech,Model-200,USA,9924.393157406495,9924.393157406495,Valid,13.24,1,2,1,Failure Reported,3,High,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown,Mechanical Issue,1,Low,Monitor
MD00245,PET Scanner,2024-01-03,2024,1,January,1,1,Matched,0-3 Years,ImagingTech,Model-500,Canada,18553.648080811523,18553.648080811523,Valid,17.21,5,5,1,Failure Reported,3,High,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction,Overheating,4,High,Review for Replacement
MD04295,CT Scanner,2017-04-03,2017,4,April,8,8,Matched,7-9 Years,CardioSync,Model-350,France,11441.436912445062,11441.436912445062,Valid,17.66,5,0,0,No Failure Reported,2,Medium,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,Mechanical Issue,2,Medium,Monitor
MD01690,Defibrillator,2021-02-20,2021,2,February,4,4,Matched,4-6 Years,UltraMed,Model-400,USA,3834.5152259607103,3834.5152259607103,Valid,2.12,2,3,1,Failure Reported,1,Low,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed,Electerical Issue,1,Low,Monitor
MD01338,MRI Scanner,2022-06-22,2022,6,June,3,3,Matched,0-3 Years,RescueTech,Model-250,Japan,2099.915183963173,2099.915183963173,Valid,3.15,1,3,1,Failure Reported,1,Low,Routine check completed; software crash observed during diagnostics. quick fix quick fix,Software/Data Issue,1,Low,Monitor
MD01833,X-Ray Machine,2021-12-29,2021,12,December,4,4,Matched,4-6 Years,CardioSync,Model-300,Italy,11706.28429749316,11706.28429749316,Valid,8.69,1,3,1,Failure Reported,2,Medium,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report,Software/Data Issue,1,Low,Monitor
MD00178,Infusion Pump,2022-09-20,2022,9,September,3,3,Matched,0-3 Years,ScanPro,Model-500,UK,3530.977390148654,3530.977390148654,Valid,5.05,2,1,1,Failure Reported,1,Low,circuit failure caused operational delay; firmware update initiated. software reset log file cleared,Electerical Issue,0,Low,Monitor
MD04233,X-Ray Machine,2022-12-22,2022,12,December,3,3,Matched,0-3 Years,CardioSync,Model-200,USA,9655.831262184523,9655.831262184523,Valid,4.11,3,2,1,Failure Reported,2,Medium,circuit failure caused operational delay; inspection initiated. driver update moderate delay,Electerical Issue,0,Low,Monitor
MD00287,PET Scanner,2022-08-27,2022,8,August,3,3,Matched,0-3 Years,MedEquip,Model-150,Canada,13014.2437740747,13014.2437740747,Valid,18.46,3,1,1,Failure Reported,2,Medium,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection,Sensor Issue,2,Medium,Review for Replacement
MD03920,Defibrillator,2023-03-13,2023,3,March,2,2,Matched,0-3 Years,MedEquip,Model-150,Japan,4975.743137172629,4975.743137172629,Valid,5.26,5,4,1,Failure Reported,1,Low,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue,General Maintenance,1,Low,Monitor
MD01400,Infusion Pump,2019-10-10,2019,10,October,6,6,Matched,4-6 Years,ImagingTech,Model-200,Canada,9745.862333542971,9745.862333542971,Valid,5.82,4,5,1,Failure Reported,1,Low,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition,Sensor Issue,1,Low,Monitor
MD04874,Infusion Pump,2023-09-05,2023,9,September,2,2,Matched,0-3 Years,MedEquip,Model-550,France,3400.271787018808,3400.271787018808,Valid,11.68,3,1,1,Failure Reported,1,Low,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset,Electerical Issue,0,Low,Monitor
MD00989,X-Ray Machine,2017-10-30,2017,10,October,8,8,Matched,7-9 Years,RescueTech,Model-300,Japan,7029.199836866744,7029.199836866744,Valid,6.48,5,2,1,Failure Reported,1,Low,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue,Electerical Issue,1,Low,Monitor
